"";"diametre";"echantillon"
"1";20,063;1
"2";20,02;1
"3";19,998;1
"4";20,05;1
"5";19,996;1
"6";20,04;2
"7";20,029;2
"8";20,005;2
"9";19,955;2
"10";20,043;2
"11";19,934;3
"12";19,978;3
"13";20,019;3
"14";19,999;3
"15";20,027;3
"16";20,046;4
"17";19,975;4
"18";20,037;4
"19";20,102;4
"20";20,019;4
"21";20,055;5
"22";19,972;5
"23";19,989;5
"24";19,931;5
"25";19,931;5
"26";20,099;6
"27";19,991;6
"28";19,993;6
"29";20,078;6
"30";20,051;6
"31";19,917;7
"32";20,002;7
"33";19,912;7
"34";19,986;7
"35";19,967;7
"36";19,975;8
"37";19,95;8
"38";19,9;8
"39";20,024;8
"40";19,984;8
"41";20,06;9
"42";20,064;9
"43";20,039;9
"44";19,843;9
"45";19,997;9
"46";20,074;10
"47";19,84;10
"48";19,853;10
"49";19,874;10
"50";19,977;10
