"";"diametre";"echantillon"
"1";19,993;1
"2";20,047;1
"3";19,988;1
"4";19,966;1
"5";20,033;1
"6";20,013;2
"7";20,022;2
"8";20,01;2
"9";20,008;2
"10";20,038;2
"11";20,005;3
"12";19,998;3
"13";20,04;3
"14";20;3
"15";19,986;3
"16";20,012;4
"17";19,995;4
"18";20,025;4
"19";20,004;4
"20";20;4
"21";19,988;5
"22";20,001;5
"23";20,021;5
"24";19,982;5
"25";20,038;5
"26";20,011;6
"27";20,001;6
"28";20,009;6
"29";19,978;6
"30";19,985;6
"31";19,99;7
"32";20,013;7
"33";19,994;7
"34";20,011;7
"35";20,017;7
"36";20,03;8
"37";20,008;8
"38";19,974;8
"39";19,979;8
"40";19,983;8
"41";20,07;9
"42";20,105;9
"43";20,056;9
"44";20,055;9
"45";20,079;9
"46";20,081;10
"47";20,087;10
"48";20,087;10
"49";20,061;10
"50";20,088;10
