"";"diametre";"echantillon"
"1";19,958;1
"2";20,048;1
"3";20,063;1
"4";20,026;1
"5";20,017;1
"6";20,062;2
"7";20,044;2
"8";20,003;2
"9";20,031;2
"10";20,057;2
"11";20,04;3
"12";20,021;3
"13";20,037;3
"14";20,054;3
"15";20,017;3
"16";20,006;4
"17";19,97;4
"18";20,075;4
"19";20,076;4
"20";20,024;4
"21";20,012;5
"22";20,046;5
"23";20,039;5
"24";20,008;5
"25";20,045;5
"26";19,969;6
"27";19,964;6
"28";19,917;6
"29";19,916;6
"30";19,909;6
"31";19,901;7
"32";19,881;7
"33";19,977;7
"34";19,955;7
"35";19,885;7
"36";19,853;8
"37";19,987;8
"38";19,885;8
"39";19,946;8
"40";19,918;8
"41";19,913;9
"42";19,925;9
"43";19,882;9
"44";20,007;9
"45";19,924;9
"46";19,913;10
"47";19,952;10
"48";19,894;10
"49";19,907;10
"50";19,963;10
