"";"diametre";"echantillon"
"1";20,007;1
"2";19,998;1
"3";19,971;1
"4";19,976;1
"5";19,971;1
"6";20,014;2
"7";19,981;2
"8";19,977;2
"9";19,997;2
"10";19,992;2
"11";20,013;3
"12";20;3
"13";20,004;3
"14";20,004;3
"15";19,992;3
"16";20,007;4
"17";20,021;4
"18";20,014;4
"19";19,99;4
"20";20,03;4
"21";20,023;5
"22";20,006;5
"23";19,976;5
"24";20,018;5
"25";19,985;5
"26";19,999;6
"27";20,006;6
"28";19,959;6
"29";20,041;6
"30";20,003;6
"31";19,939;7
"32";19,983;7
"33";19,953;7
"34";19,916;7
"35";19,942;7
"36";19,953;8
"37";19,921;8
"38";19,925;8
"39";19,945;8
"40";19,937;8
"41";19,922;9
"42";19,89;9
"43";19,904;9
"44";19,891;9
"45";19,867;9
"46";19,934;10
"47";19,865;10
"48";19,907;10
"49";19,927;10
"50";19,941;10
