"";"diametre";"echantillon"
"1";20,032;1
"2";20,05;1
"3";20,015;1
"4";20,009;1
"5";20,055;1
"6";20,078;2
"7";20,076;2
"8";20,012;2
"9";20,025;2
"10";20,01;2
"11";20,025;3
"12";20,019;3
"13";20,033;3
"14";20,036;3
"15";20,073;3
"16";20,007;4
"17";20,06;4
"18";20,025;4
"19";20,023;4
"20";20,043;4
"21";20,026;5
"22";20,048;5
"23";20,09;5
"24";20,089;5
"25";19,957;5
"26";20,011;6
"27";20,01;6
"28";20,055;6
"29";20,013;6
"30";20,014;6
"31";20,052;7
"32";20,081;7
"33";20,011;7
"34";20,032;7
"35";20,031;7
"36";19,995;8
"37";19,955;8
"38";19,945;8
"39";19,948;8
"40";19,948;8
"41";19,934;9
"42";19,987;9
"43";19,92;9
"44";19,944;9
"45";19,918;9
"46";19,942;10
"47";19,969;10
"48";19,959;10
"49";19,923;10
"50";19,977;10
