"";"diametre";"echantillon"
"1";19,907;1
"2";19,946;1
"3";19,956;1
"4";19,969;1
"5";19,953;1
"6";19,952;2
"7";19,958;2
"8";19,939;2
"9";19,921;2
"10";19,967;2
"11";19,936;3
"12";19,949;3
"13";19,93;3
"14";19,947;3
"15";19,925;3
"16";19,997;4
"17";19,972;4
"18";19,922;4
"19";19,977;4
"20";19,946;4
"21";19,947;5
"22";19,963;5
"23";19,945;5
"24";19,948;5
"25";19,951;5
"26";20,034;6
"27";20,017;6
"28";20,04;6
"29";20,068;6
"30";20,059;6
"31";20,038;7
"32";20,042;7
"33";20,015;7
"34";20,039;7
"35";20,029;7
"36";20,066;8
"37";20,037;8
"38";20,059;8
"39";20,015;8
"40";20,043;8
"41";20,077;9
"42";20,053;9
"43";20,094;9
"44";20,08;9
"45";20,02;9
"46";20,016;10
"47";20,031;10
"48";20,024;10
"49";20,069;10
"50";20,042;10
