"";"diametre";"echantillon"
"1";20,009;1
"2";20,021;1
"3";20,015;1
"4";19,988;1
"5";20,017;1
"6";19,986;2
"7";19,985;2
"8";19,984;2
"9";19,972;2
"10";19,985;2
"11";19,995;3
"12";19,979;3
"13";19,993;3
"14";20,048;3
"15";20,021;3
"16";20,029;4
"17";20,01;4
"18";20,043;4
"19";19,984;4
"20";20,04;4
"21";19,986;5
"22";19,998;5
"23";19,996;5
"24";20,017;5
"25";20,023;5
"26";19,969;6
"27";20,006;6
"28";20,03;6
"29";19,964;6
"30";19,986;6
"31";19,973;7
"32";20,006;7
"33";19,991;7
"34";20,014;7
"35";20,014;7
"36";19,97;8
"37";20,032;8
"38";19,993;8
"39";20,024;8
"40";19,996;8
"41";20,103;9
"42";20,119;9
"43";20,067;9
"44";20,105;9
"45";20,072;9
"46";20,112;10
"47";20,096;10
"48";20,097;10
"49";20,093;10
"50";20,051;10
