"";"diametre";"echantillon"
"1";19,978;1
"2";20,012;1
"3";19,967;1
"4";19,995;1
"5";19,988;1
"6";19,97;2
"7";20,005;2
"8";20,01;2
"9";19,984;2
"10";20,015;2
"11";20,009;3
"12";20,012;3
"13";19,998;3
"14";20,012;3
"15";20,003;3
"16";19,977;4
"17";20;4
"18";19,974;4
"19";20,026;4
"20";20,006;4
"21";19,962;5
"22";20,006;5
"23";19,974;5
"24";20;5
"25";19,998;5
"26";19,996;6
"27";19,997;6
"28";19,984;6
"29";20,016;6
"30";20,005;6
"31";20,008;7
"32";19,959;7
"33";19,975;7
"34";19,962;7
"35";20,016;7
"36";20,187;8
"37";20,175;8
"38";20,084;8
"39";20;8
"40";20,089;8
"41";20,102;9
"42";19,967;9
"43";20,054;9
"44";20,028;9
"45";19,981;9
"46";19,97;10
"47";20,038;10
"48";20,082;10
"49";20,137;10
"50";20,087;10
